Area Name,Rural/Urban,Total Population,Good Households,Livable Households,Dilapidated Households,Tapwater from treated source,Tapwater from un-treated source,Covered well,Un-covered well,Handpump,Tubewell/Borehole,drinking water from Spring,Drinking water form River/Canal,Drinking water form Tank/Pond/Lake,Sources of Lighting -Electricity,Sources of Lighting - Kerosene,Sources of Lighting -Solar energy,No lighting,Number of households having latrine facility within the premises,Piped sewer system,Septic tank,Other system,With slab/ventilated improved pit,Without slab/  open pit,Number of households not having latrine facility within the premises,Public latrine,Bathroom,Enclosure without roof,Waste Water Closed drainage,Waste Water Open drainage,Good Fuels,Bad Fuels,Total number of households availing banking services,Radio/Transistor,Television,Computer/Laptop With Internet,Computer/Laptop Without Internet,Landline only,Mobile only,Both Mobile and Landline,Bicycle,Scooter/ Motorcycle/Moped,Car/ Jeep/Van,"Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car",Types of Structure of houses-Permanent,Types of Structure of houses-Semi-Permanent,Types of Structure of houses-Total Temporary,Types of Structure of houses-Serviceable,Types of Structure of houses Non-Serviceable,Types of Structure of houses Unclassifiable
Bawani khera (MC) - Ward No.2,Urban,1407,7.9,90.5,1.6,70.8,0.8,0.8,27.3,0,0,0,0,0.4,66.4,32.8,0.4,0,23.3,0,1.2,7.9,14.2,0,76.7,0,36.4,19.4,0.4,93.3,15.4,0,54.5,4.7,42.7,0.4,22.1,1.6,57.7,0,49,4.7,0.8,1.2,34.4,64,1.2,1.2,0,0.4
Bawani khera (MC) - Ward No.3,Urban,1398,62.5,35.6,1.9,39.8,3.8,0,54.9,0.8,0,0,0.8,0,78.8,20.5,0.4,0.4,48.9,0.4,23.1,18.2,7.2,0,51.1,0,61,23.1,3,96.6,17,1.1,47.3,15.2,58,0.8,1.5,1.9,62.1,2.3,39,14,1.9,0.4,44.7,51.1,4.2,3.8,0.4,0
Bawani khera (MC) - Ward No.4,Urban,1525,49.2,50.2,0.7,82.1,2.7,0,15.3,0,0,0,0,0,88,12,0,0,73.4,0,2,69.4,2,0,26.6,0,74.8,2.7,10,79.7,52.8,0.7,47.5,14.6,66.4,4.3,3,6.6,67.1,4.7,45.2,25.6,4.3,5,59.8,39.9,0.3,0.3,0,0
Bawani khera (MC) - Ward No.5,Urban,1178,33.8,54.6,11.7,99.6,0,0,0.4,0,0,0,0,0,87.9,1.7,0,0.4,82.5,1.2,0.4,80,0.8,0,17.5,0.8,77.1,11.2,6.7,92.1,70.8,0,70,5.4,65.8,4.2,2.5,14.6,62.9,5,41.2,30.4,5.4,4.2,54.6,45,0.4,0.4,0,0
Bawani khera (MC) - Ward No.6,Urban,2144,8.9,79.8,11.3,52.5,4.9,0,38.8,3.5,0.2,0,0,0,69.2,21.9,0,0,38.1,0,11.1,15.3,11.8,0,61.9,0,46.6,22.8,0.5,76,31.3,0,43.1,23.8,58.8,0,2.8,6.8,62.8,1.9,48.7,11.1,1.2,1.2,31.3,62.1,6.6,6.6,0,0
Bawani khera (MC) - Ward No.7,Urban,1626,49.2,46.2,4.6,86.5,9.2,0,0,0.3,3.1,0,0,0,66.4,33,0.6,0,52,9.8,14.7,18,9.5,0,48,0,54.1,27.2,10.4,65.4,23.2,2.1,52,26.6,56.3,0,3.4,7.3,68.5,3.4,45,14.1,4,1.2,46.8,50.2,3.1,1.8,1.2,0
Bawani khera (MC) - Ward No.8,Urban,2609,34,63.8,2.2,89.3,0.2,0.2,1.4,5.6,1.4,0,0,0,84.5,13.9,0,0,62,0,1,61,0,0,38,0,65.8,14.9,0,78.7,24.1,0,61.2,17.9,60.4,0.4,1,1.2,78.7,2.4,43.1,22.9,1.6,0.6,58.6,40.6,0.8,0.4,0.4,0
Bawani khera (MC) - Ward No.9,Urban,1475,60.9,37.6,1.5,95.3,1.8,0.4,0,0.4,0,0,0,1.5,88.7,3.3,0,7.7,70.8,0.4,1.8,48.2,19.7,0,29.2,0.7,81,5.5,0,98.5,45.3,0.4,65.7,35.4,75.9,1.1,1.8,2.9,60.9,1.5,49.6,23,2.9,1.5,80.7,17.5,1.8,1.8,0,0
Bawani khera (MC) - Ward No.10,Urban,1347,59.6,39.2,1.2,95.9,1.2,0,0,0,0,0,0,0,95.1,4.5,0,0.4,93.9,0,0.4,92.7,0.8,0,6.1,0,89,3.3,0.4,99.6,58,0,60,9.4,76.3,1.6,4.5,5.7,73.9,4.9,38.8,33.5,6.9,5.3,69.4,30.2,0.4,0.4,0,0
Bawani khera (MC) - Ward No.11,Urban,844,75.7,24.3,0,88.8,8.9,0,0,0,0,0,0,0,91.7,8.3,0,0,84.6,0,0.6,79.9,4.1,0,15.4,0,80.5,15.4,0.6,97.6,46.7,0,50.9,0.6,76.9,0.6,19.5,5.3,72.2,2.4,74.6,18.9,1.8,5.3,31.4,68,0.6,0.6,0,0
