Area Name,Rural/Urban,Total Population,Good Households,Livable Households,Dilapidated Households,Tapwater from treated source,Tapwater from un-treated source,Covered well,Un-covered well,Handpump,Tubewell/Borehole,drinking water from Spring,Drinking water form River/Canal,Drinking water form Tank/Pond/Lake,Sources of Lighting -Electricity,Sources of Lighting - Kerosene,Sources of Lighting -Solar energy,No lighting,Number of households having latrine facility within the premises,Piped sewer system,Septic tank,Other system,With slab/ventilated improved pit,Without slab/  open pit,Number of households not having latrine facility within the premises,Public latrine,Bathroom,Enclosure without roof,Waste Water Closed drainage,Waste Water Open drainage,Good Fuels,Bad Fuels,Total number of households availing banking services,Radio/Transistor,Television,Computer/Laptop With Internet,Computer/Laptop Without Internet,Landline only,Mobile only,Both Mobile and Landline,Bicycle,Scooter/ Motorcycle/Moped,Car/ Jeep/Van,"Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car",Types of Structure of houses-Permanent,Types of Structure of houses-Semi-Permanent,Types of Structure of houses-Total Temporary,Types of Structure of houses-Serviceable,Types of Structure of houses Non-Serviceable,Types of Structure of houses Unclassifiable
Nathuwas (14),Rural,2641,59.9,35.2,4.9,11.6,2.9,0.2,0,84.5,0.8,0,0,0,96.7,1.8,0,0,43.2,1.2,41.3,0,0.6,0,56.8,0,64.4,4.7,2.6,96.7,12.4,0.2,50.3,15.1,63.3,1,3.1,0.4,80.4,0.8,67.4,28.1,4.3,1.2,57.4,41.5,1,1,0,0.2
Paluwas (12),Rural,7370,44.3,48.7,7,65.8,6,2.2,0.1,24.5,0.1,0,0,0,81.7,15.7,0.4,2,62,11.4,31,8.9,10.1,0.4,38,0.2,60.8,23.3,10.3,79.1,26.8,0.8,45.6,9.9,57.2,2.8,24.9,5.7,74.1,0.4,50.4,20.3,3.5,4.9,60.7,31.7,7.7,1.7,6,0
Naurangabad (16),Rural,3016,43.3,49.5,7.2,0.9,2.7,8.3,61.9,25.8,0,0,0,0.4,85.4,14,0,0,55.8,0.9,54.8,0,0,0,44.2,0,61.5,18.2,6.3,88.2,19.7,0,66.2,14.2,63,3.6,9.5,3.2,64.3,0.2,25,26.6,4.6,4,56.7,42.3,0.9,0.6,0.4,0
Ninan (17),Rural,1594,38.1,48.5,13.4,19.9,0,11.7,46,22.3,0,0,0,0,66.7,30.9,0.3,0,41.9,0,8.2,0.7,14.4,18.6,58.1,0.3,48.8,14.4,11.7,67.7,14.8,0,52.2,7.2,77.7,0,3.1,1,90,0.7,70.4,24.1,1.7,1.7,56.4,40.5,1.7,1.7,0,1.4
Bhiwani Lohar (22) ,Rural,4087,66.3,30.7,3,10,3.1,10.6,0,63.7,2.2,0,0,1.5,73,11.5,0.4,8.7,51.2,13.9,17.6,19.6,0,0,48.8,8.5,56.4,20.3,11.6,43.3,24,0.2,46.3,20,57,3.6,26.6,22.7,56.7,1.5,48.2,17.6,8.5,6.9,87,8.8,2.5,1.8,0.7,1.6
Kaunt (18),Rural,4017,41.1,55.1,3.8,65.6,4.2,0.1,29.6,0,0.4,0,0,0,75.1,24.8,0,0.1,35.7,4.3,8,23,0.3,0,64.3,0,46.1,16.2,0.4,97.2,24.8,0.1,29,19.9,52,0.5,1.9,1.3,46.1,0.7,54.6,16.4,2.3,1.2,64.3,25.3,10.4,10.4,0,0
Bhiwani Jonpal (21),Rural,8023,43.6,51.1,5.3,41.8,3.9,0.1,0,49.6,1.3,0,0.1,2.5,90.5,6.4,0,0.1,60.8,1.5,53.7,2.6,3,0.1,39.2,0,67.3,15,3.6,73.1,42.5,0.3,50.4,14.3,73.2,1,2.8,0.5,79.2,2,59.7,20.3,3.3,1.8,88.6,6.2,2.3,0.7,1.5,3
Bapora (24),Rural,14332,43.1,51.4,5.4,73,8.7,1.1,0.2,10.6,5.4,0,0,0,92.4,6.2,0.1,0.3,67,7.1,43.5,0.4,16.1,0,33,9.1,65.7,17.5,2.9,76.7,24.2,0.2,57.8,15.4,67.4,1.4,4.8,3.8,65.1,4.3,36.8,18.7,2.9,1.8,63.5,32.8,3.4,2.7,0.7,0.2
Biran (27),Rural,5088,73.7,25.3,0.9,91.6,5.2,0,0.4,1.8,0.4,0.1,0,0.1,94.7,4.6,0,0.4,68.1,2.1,65.2,0.8,0,0,31.9,3.1,62.5,24.2,3.6,95,27.5,0,54.8,32.7,64.7,2.1,8,4.7,52.2,6.3,45.8,19.8,6.6,3.3,73.9,25.2,0.7,0.7,0,0.1
Dinod (26),Rural,11792,39.1,54.6,6.3,51,6.7,4.1,2.2,32.1,2.7,0,0.1,0,92.7,6,0,0.3,52,0.4,40.5,1.2,9.9,0,48,1.1,57.6,28,1.5,89.7,19.8,0,61.4,10.5,52.8,0.4,8.3,5.4,66.8,1,35.2,18.7,2.7,2.8,74.2,22.6,2.8,2.8,0,0.4
Kohar (48),Rural,5242,25.8,69.5,4.7,21.4,13.3,0.4,3.7,8.2,34.5,0,0.2,18.5,72.4,26.6,0.1,0.2,32.3,0.8,24.6,0.5,5.4,0,67.7,0,48.6,20.1,3.9,44.5,14.9,0,44.1,13,41.1,0.3,5.5,1.4,69.6,0.7,9.8,11.4,1.1,0.5,71,23.1,4.4,4.1,0.3,1.4
Devsar (25),Rural,12488,38,53.1,8.9,66.8,7.4,0.1,4.2,17.2,2.7,0,0,0.9,89.9,9.1,0,0.8,52,0.9,43.7,0.3,7,0.1,48,0.6,60.1,14.4,5.2,83,30.4,0.2,77.7,16.6,64.4,0.9,4.1,1.8,74.6,2.4,47.2,23.3,3,1.8,76.9,21.3,1.7,1.1,0.6,0.1
Haluwas (102),Rural,3910,54.7,32.9,12.3,39.6,0.1,1.1,4.4,53.2,0.3,0,0,0.1,84,16,0,0,53.6,0,37.3,8.1,8.1,0,46.4,0,61.2,6.4,1,97.7,23.1,0.1,58.3,10.6,59.4,0.5,8.4,1.9,63.2,2.2,62.6,23.5,3.4,3.3,74.9,24.7,0.3,0.3,0,0.1
Pahladgarh (103),Rural,2286,64.7,30.3,4.9,63.5,5.8,0,0,6.2,0,0.2,0,5.2,93.8,5.4,0.6,0,54.4,0.6,47.6,5.6,0.2,0,45.6,9.9,72.8,8.5,24.5,70.1,40.2,0.2,78.1,14.2,69.9,1.4,3.5,3.9,79.2,3.3,51.3,39,7.8,2.9,60.2,38.8,1,1,0,0
Dhana Narsan (20),Rural,2051,59,32.4,8.6,59.8,0.2,0,0,33.8,6.2,0,0,0,79.3,20.7,0,0,43.3,2.9,40,0,0,0,56.7,0,66.7,18.1,2.6,69.8,17.4,0,46.2,38.6,54.8,1.2,1.4,1.7,63.1,0.7,54.8,24.5,1.4,1.7,56.9,38.1,4.5,0.2,4.3,0.5
Dhana Ladanpur (19),Rural,2971,53.9,37.8,8.3,33.7,0.9,0,5.1,56.7,3.2,0,0,0,77.8,8.3,0,12.9,35.3,0.7,34.4,0.2,0,0,64.7,0,42.7,20.2,16.5,81.2,10.5,0,48.9,10.1,44.3,1.2,2,0.4,61.2,2.5,50.4,14,2.1,1.6,57.3,40.1,2.5,2.3,0.2,0.2
Umrawat (115),Rural,2781,58.1,38.6,3.3,0.4,0.6,0,89.9,8.3,0.4,0,0,0.4,91.8,6,0,1.2,45.2,0.4,25,0,19.6,0,54.8,0,56.9,18.4,1.7,97.1,7,0.2,74.8,21.4,56.7,1.2,3.7,1.6,76.5,1.4,50.1,21.9,2.7,1.4,68.3,31.3,0.4,0,0.4,0
Sanga (116),Rural,4539,46.2,47,6.8,32.9,17.4,0.6,33.2,3.6,12.3,0,0,0,90.7,8.8,0,0.2,43.5,1,9.6,0,31.6,1,56.5,0,61.9,15.1,2.2,82.5,25.2,0.2,76.8,14.3,65.5,0.3,4.8,7.8,78.1,2.2,34.1,16.8,3.7,2.1,48.6,48.1,2.9,2.4,0.5,0.3
Kayla (117),Rural,4052,74.3,22,3.7,71.9,6.3,2,2.4,17.4,0,0,0,0,91.7,7.5,0,0,52.9,2,14.4,1.4,29.8,2,47.1,0.8,64.5,8.4,2.1,90.5,16.8,0,58.1,11.3,67.7,0.6,4.4,1.8,75.1,3.7,26,15.3,1.1,1.1,60.7,35.9,3.2,3.2,0,0.2
Badala (118),Rural,2855,77.5,19.5,3,57,0.6,0.8,0.6,37.5,0.2,0,0,0,96.8,2.5,0.2,0.2,65,8.5,36,4.4,16.1,0,35,0.2,45.8,27.5,4,91.9,39,0,34.5,11,37.9,1.3,9.8,2.8,71,3.6,24.8,11.2,1.7,1.3,40.3,58.1,1.5,0.8,0.8,0
Dhareru (119),Rural,5491,33.7,53.4,12.9,87.1,3.9,3.1,1.5,3.7,0,0.1,0,0,80.7,18,0,0.9,49.6,1.2,15.4,0.4,32.2,0,50.4,1,57.5,11.7,4.7,87.4,28.6,0,54.1,14.3,55.5,0.4,12.1,2.7,71.6,1.9,25.1,15.4,5.3,2,58.3,37.5,4.3,3.9,0.3,0
Nangal (114),Rural,2545,60.5,36,3.5,94.8,0.4,0.2,0.4,2,0,0,0,2.2,86.3,13.4,0,0.2,54.4,0.2,9.8,0.4,41.9,1.3,45.6,0,68.3,24.9,2.4,77.4,32.8,0,38.6,25.6,49.5,0.2,1.1,0.7,55.3,1.5,21,18.2,1.3,0.9,65.5,34.1,0.4,0.4,0,0
Ajitpura (105),Rural,2013,58.9,36.3,4.8,78.5,18.7,0,0.8,0.6,0,0.3,0,0,92.1,7.9,0,0,55.2,0,55,0,0.3,0,44.8,0,73.7,17.8,0.6,85.6,51.6,0.3,72.8,26.1,60.3,0.6,5.9,2.5,77.1,1.4,46.5,43.6,2.3,2.8,86.4,9.1,4.2,1.1,3.1,0.3
Manheru (113),Rural,8214,42.9,49.6,7.5,53.5,18.5,0.1,9.7,17.7,0,0.1,0,0,88.8,11.2,0,0,53.6,1.1,46.9,0.7,4.7,0,46.4,0,57.1,21.8,4.3,94,15.3,1,50.1,16.4,65.6,0.4,1.5,1.3,59.9,3.1,36,22.4,2,0.9,52,45,2.9,2,0.9,0.1
Madhmadhvi (112),Rural,1492,28,51.2,20.8,30.4,0.3,0,37.7,31.1,0,0,0,0.3,61.2,7.6,0,21.1,34.9,0,21.5,0,13.5,0,65.1,0,43.9,10,1,62.3,21.8,0.7,37,14.2,52.9,0,4.8,2.4,59.5,0.7,28.4,16.6,0.7,1,46.4,26,2.1,2.1,0,25.6
Goripur (111),Rural,2252,87.7,9.3,3.1,0,0,5.1,17.4,73.8,0.7,0,0,2,99.1,0.4,0.4,0,43.6,0.2,38.5,4.6,0,0,56.4,0,64.1,20.5,0.2,77.8,10.1,0,66.3,16.5,59.7,0,5.3,2.6,85,1.1,30.4,21.8,8.4,2.4,57.5,41.9,0.7,0.7,0,0
Kitlana (106),Rural,4521,34.7,58,7.3,67.6,25.3,0.6,0,0.3,2.7,0,0.3,0,83.7,15.5,0.3,0,46.7,2.2,16.4,0.1,27.7,0.1,53.3,0.1,53.1,22.2,2.4,83.1,16,0.6,62.7,19.7,49.8,0.7,4.3,2.3,78.2,1.3,26.9,15.3,3.5,1,82.1,15.3,1.2,1.2,0,1.5
Nimriwali (104),Rural,2945,62.2,36.9,1,86.1,2.3,0,11,0.4,0,0.2,0,0,89.5,10.5,0,0,53.6,0.8,13.5,15.6,23.8,0,46.4,0,69,9.7,0.4,89.9,33.7,0.2,60.3,10.8,62.5,1.1,6.1,1.7,70.9,7.4,16.7,20.2,3.6,2.1,72.8,26.4,0.2,0.2,0,0.6
Dhirana Kalan (101),Rural,2869,64.6,35,0.4,63.6,2,0,0,30.2,0.4,0.6,0,0,89.1,10.3,0.2,0.2,57.9,5.6,4,29.2,16.3,0,42.1,8.5,64.8,12.9,3.4,87.5,28,0,54.5,10.5,60.6,1.4,3.4,1.4,64.4,3,26.2,19.1,3.2,1.8,63.2,34.2,2.6,0.8,1.8,0
Rupgarh (99),Rural,2599,56.4,37.9,5.7,95.7,1.8,0.6,0,0,1,0,0,0,80.5,18.4,0,0.2,49.6,3.5,28.7,0.6,15,0.4,50.4,0,65,11.7,7.2,87.9,41.6,0.2,79.5,26.6,66,4.9,19.7,11.7,71.9,6.8,34.4,30.3,16,6.8,92,5.5,2.5,1.8,0.6,0
Nandgaon (1),Rural,2661,35.8,51.4,12.8,87.8,0.7,2.7,1.6,6.8,0.2,0,0,0,92.4,7.2,0.2,0,46.8,12.8,23.9,0,9.5,0,53.2,7.7,52.5,9.5,7.4,77,46.4,0,71,11,59.7,0.4,3.2,2.9,84.9,1.8,6.7,28.2,5.6,1.3,91.5,8.1,0.2,0.2,0,0.2
Rajgarh (100),Rural,4135,25.7,68.6,5.7,77.7,5,0.1,2.4,11.6,2.1,0,0,0,86.8,10.6,0.1,1.7,43.6,0.4,9.5,7.6,25.8,0.1,56.4,0,51.4,18.1,12.3,76.1,23.4,0.2,65,16,56,1.2,3.2,10.5,71.2,2.5,27.1,20.3,3.2,1.2,76.8,19.2,3.9,2.6,1.2,0.1
Asalwas Dubia (54),Rural,2119,85,12.8,2.2,74.6,6.6,0,0.3,0.3,17.5,0,0,0,84.7,12.3,0,2.7,33.3,0.3,20.8,0.8,11.5,0,66.7,0,42.9,37.2,4.4,73.2,12.3,0,51.6,13.9,45.1,0.3,0.5,1.1,72.7,0.3,18.3,17.5,2.2,0.5,74.6,24,1.4,1.1,0.3,0
Asalwas Marhata (55),Rural,3811,54.5,37.9,7.6,5,2.5,0.4,43,0,49,0,0,0,82.8,16.6,0.3,0,30.2,0.3,9.7,1,17.2,1.9,69.8,0,43,23.5,1.9,56.2,12.6,0.5,52.1,17.6,41.1,0.3,4.3,0.1,75.5,1.5,15.1,14.4,4.6,0.4,68.7,22.9,7.3,5.9,1.5,1
Bhakra (56),Rural,1593,35.1,56,8.9,62.1,4.3,9.9,0,1.4,16.7,0,0,0,72.3,27.3,0,0.4,20.2,0,13.1,0,5,1.8,79.8,0.4,43.6,18.1,0.4,64.9,5,0,52.1,13.8,39.4,0,1.4,1.4,70.6,0.7,12.1,19.5,3.9,0.4,75.5,18.8,4.3,1.8,2.5,1.4
Dhani Brahmanan (58),Rural,1482,35.2,53.9,10.9,94,0,0.7,1.5,0,3.4,0,0,0,94.4,5.6,0,0,47.6,1.1,45.3,0,0,0,52.4,0,71.2,18,1.1,94.4,0.7,0,76,13.1,44.2,0.7,7.9,4.1,66.3,3.7,27,19.5,7.9,3,85.8,14.2,0,0,0,0
Nangla (57),Rural,1282,74,17.4,8.7,18.3,31.1,2.3,12.3,0,35.2,0.9,0,0,85.4,14.2,0,0.5,21.9,0.9,2.3,5.5,13.2,0,78.1,0,68.5,4.6,1.4,70.8,21.5,0.5,75.8,25.6,38.4,0.5,0.5,13.2,62.1,0,17.4,18.7,7.3,0.5,84.9,11.4,3.7,3.2,0.5,0
Azadnagar (147),Rural,502,95.7,3.2,1.1,100,0,0,0,0,0,0,0,0,96.8,3.2,0,0,58.1,0,58.1,0,0,0,41.9,0,89.2,8.6,1.1,98.9,53.8,0,96.8,36.6,66.7,6.5,3.2,1.1,91.4,4.3,41.9,36.6,11.8,7.5,86,14,0,0,0,0
Golagarh (64),Rural,2836,35.3,58.5,6.2,70.3,0.6,0,1.3,0.2,27.7,0,0,0,80.6,12.9,0,0.2,45.6,0.2,0.2,0.4,44.9,0,54.4,0,60.4,12.3,7.5,77.2,26.5,0,70.8,15.5,46.2,0.2,5.4,0.7,82.8,1.9,15.9,19.4,6.2,1.3,83,16.6,0.4,0.2,0.2,0
Jui Khurd (65),Rural,6821,66.3,28.8,4.9,83.3,1.1,0.2,0.8,0.2,14.5,0,0,0,96.6,3.1,0,0.2,72.1,1.1,60.2,0.2,9.4,1.1,27.9,0,77.5,3.3,2.8,77.6,25.1,0.2,72.1,19.7,53,1.1,4.2,0.8,70.6,3.3,19.6,14.2,4.8,1.2,86.8,10.5,2.7,2.2,0.5,0
Jui Kalan (67),Rural,2072,27.3,70.3,2.5,90.9,0.2,0,0,0.2,6.4,0,0,0,87.5,10.6,0,0.2,66.8,0.7,18.9,0.2,46.4,0,33.2,0,68.1,14.3,2,92.1,26.5,0,71,26.8,67.8,0.5,8.1,1.7,71.3,3.4,31.4,15.2,4.4,2.5,88.5,8.8,2.7,0.7,2,0
Pohkarwas (68),Rural,1290,62.3,37.7,0,96.3,0,0,0,0,0.5,0,0,3.3,84.7,15.3,0,0,54.9,0,54.9,0,0,0,45.1,0,63.3,11.6,0,87.9,15.3,0,67.4,21.4,55.8,0,1.9,0.5,58.6,0,14.4,19.5,1.4,0.9,97.7,1.4,0.9,0.9,0,0
Lalawas (69),Rural,1093,28.1,55.7,16.3,98.5,0,0,0,0,1.5,0,0,0,80.3,17.7,0,0,57.1,0,57.1,0,0,0,42.9,0,63.5,22.2,2,88.2,22.7,0,45.8,8.4,38.4,1,0,1.5,83.3,3.4,25.1,21.2,3.9,1,79.8,9.4,9.9,1,8.9,1
Dhab Dhani (141),Rural,2954,49,42.5,8.5,83.8,3.9,0,0,0.4,9.3,0,0,2.5,74.1,25.7,0,0,43.2,0.2,26.8,0.2,16,0,56.8,0,46.5,18.7,2.3,73,5,0,35.5,14.1,34,0.6,4.6,2.5,63.5,2.1,15.3,11.8,4.2,1.9,77.8,17,5.2,5.2,0,0
Babarwas (142),Rural,1378,72,24.6,3.4,33,51.5,2.3,0.8,0,6.4,0,0,0,83,17,0,0,46.6,0,0,1.1,44.7,0,53.4,1.1,52.3,15.9,0,89,1.9,0,50.8,17.4,37.5,0,1.5,1.1,81.1,0.4,14.4,5.7,1.9,0,68.6,29.5,1.9,0.4,1.5,0
Jhundawas (143),Rural,593,67.3,31.7,1,0,93.3,6.7,0,0,0,0,0,0,76,24,0,0,56.7,0,0,0,56.7,0,43.3,0,52.9,7.7,0,85.6,0,0,68.3,13.5,52.9,0,0,0,78.8,1,26,22.1,2.9,0,59.6,39.4,0,0,0,1
Chandawas (144),Rural,682,35.2,56.8,8,85.6,1.6,0,0,0,0,0,0,12.8,81.6,18.4,0,0,40.8,0,0,0,40.8,0,59.2,0,50.4,0,0,59.2,4.8,0,58.4,11.2,52.8,0,2.4,0,85.6,2.4,19.2,16,7.2,0.8,77.6,22.4,0,0,0,0
Dhangar (66),Rural,2666,73.9,22.6,3.6,74.8,3.8,2.9,0.2,0,4.3,0,0,10.9,84.1,9.7,0,0.2,27.6,0.2,3.8,10.9,12.6,0,72.4,0,50.6,11.6,0,75.5,19.2,0,61,11.4,36.1,0.2,4,1.4,72.4,3.3,12.8,12.6,2.1,1.2,90.5,5.2,4,4,0,0.2
Leghan Bhanan (62),Rural,1617,22.6,66.8,10.7,56.4,6.1,0.6,6.4,21.6,8.5,0,0,0,76.2,23.2,0,0,44.5,0,19.2,21.6,2.1,1.2,55.5,0,51.2,11,0.3,55.2,11.9,0.3,78.4,9.1,37.8,0.9,2.4,0.3,65.2,2.4,19.2,13.1,2.1,1.8,76.8,12.8,7,7,0,3.4
Bhangarh (63),Rural,3282,33.8,58.4,7.8,71.3,12.2,0.5,0,1,14.4,0,0,0,87.1,12.7,0,0,43.7,0,43.1,0,0.7,0,56.3,0,50.7,14.8,1,68.8,3.6,0.2,46,12.2,44.4,0.2,1.1,0.2,78.1,1,10.8,12.2,2.4,0.7,76.2,21.9,1.8,0.7,1.1,0.2
Titani (52),Rural,1247,71.5,20.9,7.5,85.8,2.5,0,0,0,7.9,0,0,0,94.6,3.3,0,2.1,33.9,0,0,0,33.9,0,66.1,0,71.1,14.6,0.8,68.6,0,0,47.7,13,39.7,0,2.5,1.7,71.1,2.1,10,8.8,1.7,0.4,68.6,31.4,0,0,0,0
Lohani (53),Rural,6354,45.5,49.6,5,19.8,68.1,0,0.3,8.8,2.9,0,0,0,88.7,10.5,0,0.2,50.1,0.2,49.6,0.2,0.1,0,49.9,0.1,62.6,10.9,2,84.1,23.2,0,57.7,16.7,55.2,0.6,1.6,2.7,78.3,2.1,28.1,17,3.7,1.1,77.7,20.1,2,1.8,0.2,0.2
Malwas Devsar (50),Rural,450,34.9,42.5,22.6,0,97.2,0,0,1.9,0,0,0,0,67,30.2,0.9,0,10.4,0,10.4,0,0,0,89.6,0,39.6,1.9,0,51.9,14.2,0,32.1,9.4,33,0,0.9,0,33,1.9,27.4,10.4,0.9,0,54.7,29.2,16,16,0,0
Malwas Kohar (49),Rural,668,25.3,71.2,3.4,99.3,0,0,0.7,0,0,0,0,0,74.7,24.7,0,0,17.8,2.7,0.7,10.3,4.1,0,82.2,0,46.6,3.4,0.7,45.2,6.8,0,50.7,13,43.8,0.7,2.1,0.7,51.4,0,20.5,14.4,6.8,2.1,91.1,4.8,2.7,2.1,0.7,1.4
Kasumbhi (51),Rural,2316,26,59.6,14.4,28.3,2.3,0,0.2,1.4,8.7,0,0,59.1,88.6,10.5,0.2,0,25.3,0.2,0.2,0,24.7,0.2,74.7,0.5,43.4,32.4,3.4,66.7,15.8,0.2,80.1,4.8,52.3,0,2.1,0.2,77.6,1.8,16.7,14.8,2.1,0.7,63.7,35.4,0.7,0.5,0.2,0.2
Hetampura (59),Rural,4030,42,50.7,7.3,51.7,23.1,0.1,2.5,5.9,11.5,0,0,0,77.5,21.8,0.1,0.4,39.7,0,10.7,0.4,28.6,0,60.3,0,45.3,11.6,2.7,58.7,8.7,0.1,51,8.5,40.1,0.7,4.6,2.2,61.4,3.1,15.9,7.7,2.1,0.7,71.4,25.1,3.5,3.3,0.3,0
Leghan Hetwan (60),Rural,3091,35.4,47.5,17,21.7,0.7,0.4,0,48.6,28.6,0,0,0,71.7,27.5,0.1,0,41.4,0.6,29.3,3.9,7.6,0,58.6,1.2,46.5,11.4,10,70.1,7.9,0,62.8,11.4,37.7,0.1,2.7,1.9,54.7,0.6,17.9,8.7,1.5,0.3,75,12.3,10.2,9.9,0.3,2.5
Jitwanabas  (61),Rural,1560,57.8,35.5,6.8,47.6,8.8,4.1,13.9,2.4,23,0.3,0,0,93.9,6.1,0,0,45.3,6.1,20.9,1,17.2,0,54.7,0,58.8,24,0,100,1.4,0,41.9,48.3,59.1,0.7,1.4,0.7,85.1,2,39.9,15.2,2,0.7,75.3,18.9,5.7,5.7,0,0
Bhiwani (M Cl),Urban,196057,54.7,41.5,3.8,80.1,4.8,0.2,0.1,13.7,0.2,0,0,0.1,94.6,4.1,0,0.5,92.6,74.5,12,1.1,4.4,0.2,7.4,1.6,89.3,5,57.3,31.8,78,1.7,68,16,84,5.8,13.2,5.1,74.1,8,58.7,37.1,9.3,13.4,88.4,8.8,1.8,1.4,0.4,1
Bhiwani (M Cl) - Ward No.1,Urban,12847,83.7,15.8,0.5,83.3,5.4,0,0,8.8,1.6,0,0,0,97,2.5,0,0,95.4,79.9,8.3,0.4,6.9,0,4.6,0,96.3,1.2,80.7,4.2,89.4,0.1,90.3,17.9,92.7,14.2,25.7,5.5,79,11.2,60.3,69.4,23.7,35.6,98.9,1,0,0,0,0
Bhiwani (M Cl) - Ward No.2,Urban,7915,82.2,16.7,1.1,84.8,9.9,0,0.1,4.9,0.1,0,0,0,93.5,1.5,0,0,90.2,84.1,2.8,0.1,2.9,0,9.8,0.3,92.4,2.2,84.7,13.9,84.7,1,85.2,28.3,91.2,12.4,23.5,5.3,72.1,15.4,59.9,58.8,24.4,30.6,95.9,2.6,1,0.9,0.1,0.4
Bhiwani (M Cl) - Ward No.3,Urban,6530,73.1,25.7,1.2,76.3,9.8,0.1,0.1,12.4,0,0,0,0,99.6,0.3,0,0,98.2,90.4,4.7,0.1,2.8,0.1,1.8,0,98.4,1,88.5,0.6,90.9,0.2,88.3,21.5,92.2,6.2,21.1,2.6,85.7,9,72.8,60.1,17.8,22.8,96.1,3.5,0.4,0.3,0.1,0.1
Bhiwani (M Cl) - Ward No.4,Urban,6944,71.2,28.6,0.2,86.3,4.5,0,0.1,8,0,0,0,0.4,99.3,0.4,0,0.1,99.3,93.7,1.3,1.2,3.1,0,0.7,0.3,98.7,0.2,89,9.5,88.8,3.7,81.7,26.9,87.3,12,16.7,13.1,69.3,11.7,60.5,55.2,19.2,23.1,96.3,3.5,0.1,0.1,0,0.1
Bhiwani (M Cl) - Ward No.5,Urban,5622,59.4,38.1,2.5,89.3,0.7,0,0.1,8.9,0,0,0,0.1,98.2,1.5,0.1,0,92.1,77.9,9.6,1.4,1.6,1.2,7.9,0,83.8,10.7,46.6,53,64,1.6,60.9,26.3,80.1,3,8.5,1.8,74.6,3.7,55.4,25.4,5.6,6.9,86,11.1,2.4,2,0.4,0.5
Bhiwani (M Cl) - Ward No.6,Urban,5418,56.1,37.6,6.3,89.9,0.9,0.1,0,8.7,0.1,0,0.1,0,98.4,0.6,0,0.5,98.7,97.3,1,0.1,0.3,0,1.3,0.9,94.3,2.1,72.4,26.9,85.6,1,63.2,8.1,88.3,3.2,10.1,3.7,75.5,12.2,61.8,35.3,4.2,8.1,75.6,21.7,2.4,2.3,0.1,0.4
Bhiwani (M Cl) - Ward No.7,Urban,4617,53.9,44.1,2,93.4,0,0,0,6.6,0,0,0,0,95.6,0.3,0,0,97.7,93.6,1.3,2.8,0,0,2.3,0.9,95.9,3.9,61.7,37.2,81.3,1.5,38.2,17.7,87.4,4.4,7.4,3.2,75.1,3.9,63.4,30.2,4.8,7.8,91.1,8.3,0.6,0.6,0,0
Bhiwani (M Cl) - Ward No.8,Urban,12129,64.6,30.4,5,81.8,0.2,0,0.4,17.5,0,0,0,0,92.7,6.6,0.1,0.1,93.9,59.6,26,0.2,7.7,0.2,6.1,3.3,92.2,2.6,61.3,28,82,1.7,81.3,22.1,84.7,7.3,19.2,6.7,79.8,8.6,71.9,53,14.6,21.2,93.1,2.9,3.3,0.4,2.9,0.7
Bhiwani (M Cl) - Ward No.9,Urban,7695,44.7,46.2,9,60.6,1.4,0,0,36.9,0,0,0,0,92.4,7.4,0,0.3,89.9,31.5,27.8,0.4,30,0,10.1,0.1,85.8,10.7,26.2,36.5,69.3,1.4,58,18.4,80.4,3.2,10,3.9,77.7,3.7,62.9,30.4,3.9,7.9,95.2,4.3,0.5,0.5,0,0
Bhiwani (M Cl) - Ward No.10,Urban,9461,31.4,58.9,9.7,48.7,3.8,0.2,0,46,0.8,0,0,0.1,86.7,12,0.1,0.7,91.1,34.4,34.6,7.1,14.6,0.3,8.9,0.8,84.9,6.9,17.7,41.2,61.2,0.5,52.6,15.4,71.8,1.4,6.4,2.5,74.4,2.7,59,22.8,3,3.8,79.6,15.9,4.3,4,0.2,0.3
Bhiwani (M Cl) - Ward No.11,Urban,6602,39.7,56.1,4.2,76.7,14.3,0,0,8.5,0,0,0,0,83.6,11.5,0,4.2,85.9,65.4,8.6,0.1,11.5,0,14.1,0.1,78.5,5.4,44.8,50.8,58.6,0.7,48.3,7.3,74.9,1.2,8.1,1.2,67.6,1.9,54.7,14.1,2.2,2.3,79.6,15.6,4.8,4.7,0.2,0
Bhiwani (M Cl) - Ward No.12,Urban,3530,42,52.5,5.5,87.9,5.2,0.1,0,6.3,0,0,0,0,84.3,13.5,0,0.5,95.8,95.1,0.5,0,0.1,0,4.2,2.2,88.7,3,85.3,14.2,60.2,0.3,46.1,10.5,69.3,1.8,4.6,4.9,58.7,10.6,52.8,20.6,2.2,2.6,88.5,10,1.1,1.1,0,0.4
Bhiwani (M Cl) - Ward No.13,Urban,3940,49.5,45.2,5.3,87.8,8.3,0.2,0,2.9,0,0,0,0,97.9,1.3,0,0.4,98.9,96.9,1.6,0.2,0.2,0,1.1,0.8,94.7,3.7,83,16.2,84.1,0.7,55.3,10.6,87.8,4.6,12.3,12.2,73.7,4.6,61.4,34.9,9.7,8.7,85.9,9.1,5.1,5.1,0,0
